MODULE,THREADS,SCRIPT,MODEL,TIME,TIME_STDEV,SPEEDUP,EFFICIENCY,MEMORY,MEMORY_STDEV,MEMORY_DELTA
EolModuleParallel,32,imdb_parallelSelect,imdb-2.5,363614,839,12.622,0.394,4010,4125,0.135
EolModuleParallel,32,imdb_parallelSelect,imdb-all,579900,8869,13.334,0.417,4093,2396,0.212
EolModuleParallel,4,imdb_parallelSelectOne,imdb-0.1,2840,113,2.776,0.694,742,42,0.735
EolModuleParallel,4,imdb_parallelSelectOne,imdb-0.5,13747,437,3.005,0.751,3908,815,0.534
EolModuleParallel,4,imdb_parallelSelectOne,imdb-1.0,37322,675,3.198,0.799,6970,1896,0.577
EolModuleParallel,4,imdb_parallelSelectOne,imdb-2.5,184857,2562,3.43,0.858,8469,2597,0.855
EolModuleParallel,4,imdb_parallelSelectOne,imdb-all,385590,6646,3.512,0.878,10784,2808,1.056
EolModuleParallel,4,imdb_parallelSelect,imdb-0.1,32217,1000,3.726,0.931,754,600,0.377
EolModuleParallel,4,imdb_parallelSelect,imdb-0.5,150814,2005,3.791,0.948,3348,1890,0.108
EolModuleParallel,4,imdb_parallelSelect,imdb-1.0,345050,13548,3.753,0.938,5695,2162,0.182
EolModuleParallel,4,imdb_parallelSelect,imdb-2.5,1165758,26013,3.937,0.984,3854,3060,0.141
EolModuleParallel,4,imdb_parallelSelect,imdb-all,2055927,40279,3.761,0.94,1850,1190,0.47
EolModuleParallel,8,imdb_parallelSelectOne,imdb-0.1,2126,289,3.708,0.464,814,22,0.67
EolModuleParallel,8,imdb_parallelSelectOne,imdb-0.5,8718,85,4.738,0.592,4141,2429,0.504
EolModuleParallel,8,imdb_parallelSelectOne,imdb-1.0,22996,327,5.191,0.649,5127,2208,0.784
EolModuleParallel,8,imdb_parallelSelectOne,imdb-2.5,108509,2145,5.843,0.73,7751,2407,0.934
EolModuleParallel,8,imdb_parallelSelectOne,imdb-all,226520,4743,5.978,0.747,12725,2437,0.895
EolModuleParallel,8,imdb_parallelSelect,imdb-0.1,17304,390,6.937,0.867,1566,800,0.181
EolModuleParallel,8,imdb_parallelSelect,imdb-0.5,79842,2024,7.161,0.895,5699,3161,0.064
EolModuleParallel,8,imdb_parallelSelect,imdb-1.0,186041,3946,6.96,0.87,3563,3440,0.292
EolModuleParallel,8,imdb_parallelSelect,imdb-2.5,617587,12227,7.431,0.929,4295,2570,0.126
EolModuleParallel,8,imdb_parallelSelect,imdb-all,1109795,27268,6.967,0.871,4871,2963,0.178
EolModule,1,imdb_selectOne,imdb-0.1,7884,184,,,545,70,
EolModule,1,imdb_selectOne,imdb-0.5,41304,1455,,,2085,692,
EolModule,1,imdb_selectOne,imdb-1.0,119374,2383,,,4021,1248,
EolModule,1,imdb_selectOne,imdb-2.0,425990,10413,,,7612,1986,
EolModule,1,imdb_selectOne,imdb-2.5,634020,8482,,,7238,2558,
EolModule,1,imdb_selectOne,imdb-all,1354096,22260,,,11385,2595,
EolModule,1,imdb_select,imdb-0.1,120037,2532,,,284,86,
EolModule,1,imdb_select,imdb-0.5,571724,27882,,,362,53,
EolModule,1,imdb_select,imdb-1.0,1294803,44357,,,1039,540,
EolModule,1,imdb_select,imdb-2.5,4589367,113182,,,542,410,
EolModule,1,imdb_select,imdb-all,7732228,608123,,,869,521,
EvlModuleParallelAnnotation,16,imdb_validator,imdb-all,1092229,26337,0.328,0.021,2975,1994,0.134
EvlModuleParallelAnnotation,16,java_1Constraint,eclipseModel-2.0,907778,66838,,,1038,532,
EvlModuleParallelAnnotation,16,java_1Constraint,eclipseModel-all,2726090,269380,,,82,117,
EvlModuleParallelAnnotation,16,java_findbugs,eclipseModel-2.0,953963,119960,,,1650,993,
EvlModuleParallelAnnotation,16,java_findbugs,eclipseModel-3.0,1305730,76308,4.289,0.268,2910,1837,0.035
EvlModuleParallelAnnotation,16,java_manyConstraint1Context,eclipseModel-2.5,5951,425,2.241,0.14,888,846,0.779
EvlModuleParallelAnnotation,16,java_simple,eclipseModel-0.2,2875,51,1.443,0.09,561,43,1.651
EvlModuleParallelAnnotation,16,java_simple,eclipseModel-1.0,9198,103,1.608,0.101,749,458,1.037
